"Prey","LowerCT","UpperCT","MeanCT","LowerLS","UpperLS","MeanLS","Overlap","Overlap_%"
"Amphipod",0.11,0.47,0.27,0.14,0.52,0.31,TRUE,0.81
"Crustacean",0.31,0.74,0.53,0.32,0.75,0.54,TRUE,0.94
"Fish",0.09,0.39,0.22,0.18,0.59,0.38,TRUE,0.42
"Isopod",0,0.01,0,0,0.01,0,TRUE,0.94
"Polychaete",0.06,0.3,0.16,0.12,0.49,0.29,TRUE,0.41
"Tanaidacea",0,0.01,0.01,0,0.03,0.01,TRUE,0.49
