"Prey","LowerCT","UpperCT","MeanCT","LowerLS","UpperLS","MeanLS","Overlap","Overlap_%"
"Amphipod",0.16,0.25,0.21,0.28,0.43,0.36,FALSE,0
"Crustacean",0.27,0.4,0.34,0.28,0.43,0.37,TRUE,0.71
"Fish",0.03,0.06,0.05,0.02,0.04,0.03,TRUE,0.17
"Isopod",0,0.01,0.01,0.01,0.02,0.02,TRUE,0.08
"Polychaete",0.11,0.18,0.15,0.09,0.16,0.14,TRUE,0.6
"SAV",0.24,0.36,0.31,0.12,0.21,0.18,FALSE,0
"Tanaidacea",0.01,0.01,0.01,0.01,0.03,0.02,TRUE,0.05
